proveedor ,dependencia ,numero de expediente,hechos de irregularidad,objeto social ,sentido de resolucion,fecha de notificacion ,fecha de resolucion ,plazo ,monto ,nombre responsable de la informacion ,fecha de actualizacion ,
3R INNOVACIîN Y DISE„O  S.A. DE  C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0041/2013","	LA EMPRESA POR CAUSAS IMPUTABLES A ELLA NO FORMALIZO EL CONTRATO.","	3RINNOVACION@LIVE.COM.MX.","	SANCIONATORIA CON MULTA","	19/08/2014","	06/08/2014","	","	90664.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
ABASERCOM  S.A. DE C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0059/2013","	EL PROVEEDOR OMITIî ENTREGAR LA GARANTêA DE CUMPLIMIENTO DEL CONTRATO NO. D250182.","	","	SANCIONATORIA CON MULTA","	30/07/2015","	22/07/2015","	","	93495.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
ABASTECEDORA DE CONSUMIBLES MƒDICOS  S.A. DE C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0006/2018","	LA EMPRESA ENTREGî BIENES CON ESPECIFICACIONES DISTINTAS A LAS CONVENIDAS EN EL CONTRATO NO. D6P0011 Y AUNADO A ELLO PROPORCIONî INFORMACIîN FALSA.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	19/10/2018","	11/10/2018","	1 A„O 6 MESES","	679272.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
ABASTECEDORA Y FABRICACIîN DE INSUMOS COMERCIALES E INDUSTRIALES  S.A. DE C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0030/2008","	LA EMPRESA POR CAUSAS IMPUTABLES A ELLA NO FORMALIZO EL CONTRATO NO. D75052","	","	SANCIONATORIA CON MULTA","	15/10/2010","	01/10/2010","	","	15171.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
ABB MEXICO  S.A. DE C.V.,"	CENTRO NACIONAL DE CONTROL DE ENERGêA","	0001/2018","	LA EMPRESA ABB MƒXICO  S.A. DE C.V. PRESUNTAMENTE INCURRIî EN INFRACCIONES A LAS DISPOSICIONES DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PòBLICO AL NO FORMALIZAR EL CONTRATO RESPECTIVO  NO OBSTANTE HABERLE RESULTADO FAVORABLE EL FALLO DE LA LICITACIîN LA-018TOM999-E80-2017","	","	SANCIONATORIA CON MULTA","	05/07/2018","	27/06/2018","	","	120060.00","	BELEM MONDRAGîN ESCOBAR","	06/12/2018 08:12",
ABEL ZURITA MAYO,"	SECRETARIA DE DESARROLLO SOCIAL","	0012/2014","	LA PERSONA FêSICA ABEL ZURITA MAYO  PRESUNTAMENTE INCUMPLIî CON SUS OBLIGACIONES CONTRACTUALES AL NO CONCLUIR EN EL TIEMPO PACTADO LOS TRABAJOS QUE LE FUERON ADJUDICADO MEDIANTE EL CONTRATO DE OBRA SDSDGRO-FON-VIV-002-12-18","	ACTIVIDAD: CONSTRUCCIîN DE INMUEBLES COMERCIALES  INSTITUCIONALES Y DE SERVICIOS","	SANCIONATORIA CON MULTA E INHABILITACIîN","	02/07/2015","	29/06/2015","	7 MESES","	284037.81","	","	06/12/2018 08:12",
ACABADOS E INSTALACIONES MOROCO  S.A. DE C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0278/2006","	LA EMPRESA POR  CAUSAS IMPUTABLES A ELLA NO FORMALIZO EL CONTRATO NO. 1-053604MA-4-36001 DERIVADO DE LA LICITACION PUBLICA NACIONAL NO. 00641213-015-005","	TRABAJOS DE INSTALACIONES ELECTRICAS  HIDRAULICAS  AIRE ACONDICIONADO  ESPECIALES DE OXIGENO  ACABADOS EN GENERAL  REALIZAR  EJECUTAR Y SUPERVISAR TODA CLASE DE CONSTRUCCION DEL SECTOR PUBLICO Y PRIVADO.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	14/04/2010","	30/03/2010","	3 MESES","	72540.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
ACABADOS Y CONSTRUCCIONES MAAN  S.A. DE C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0329/2008","	LA EMPRESA NO CUMPLIî CON SUS OBLIGACIONES CONTRACTUALES DERIVADAS DEL  CONTRATO NO. 1-03-17-04-MA-01.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	06/10/2011","	30/09/2011","	3 A„OS 1 MES","	960819.30","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
ACCUTECH  S.A. DE C.V.,"	PEMEX REFINACION","	0044/2010","	NEGATIVA EN LA FIRMA DEL CONTRATO","	COMPRA  VENTA  COMISION  CONSIGNACION  EXPORTACION  DISTRIBUCION Y COMERCIO EN GENERAL DE TODA CLASE DE PRODUCTOS QUIMICOS  BIOQUIMICOS  FARMACEUTICOS  REACTIVOS ANALITICOS  INSTRUMENTOS CIENTIFICOS  MAQUINARIA  HERRAMIENTA  REFACCIONES  EQUIPO PARA LABORATORIO Y PARA PROCESOS INDUSTRIALES  EQUIPO Y ACCESORIO AUXILIARES VISUALES  EQUIPO DE PROTECCION Y SEGURIDAD","	SANCIONATORIA CON MULTA","	21/08/2012","	10/08/2012","	","	17812.00","	JAVIER RAMIREZ GARCIA","	06/12/2018 08:12",
ACEROS JAOSA  S.A. DE C.V.,"	SECRETARIA DE LA DEFENSA NACIONAL","	0007/2011","	INCUMPLIMIENTO EN LA ENTREGA DE LA PARTIDA NO. 9 QUE AMPARA 600 KG. DE BARRA REDONDA DE ACERO AISI 1045 DE DIAMETRO 9.53 MM. (3/8)  LONGITUD DE CADA BARRA 3.20 A 6.20 METROS.","	COMERCIALIZACIîN  COMPRA-VENTA  CALIBRACIîN  PRODUCCIîN Y TRANSFORMACIîN DE TODO TIPO DE MATERIALES FERROSOS Y NO FERROSOS Y MINERALES EN SUS DIFERENTES TIPOS Y ACABADOS Y EN GENERAL TODO TIPO DE MERCADERIAS Y BIENES MUEBLES.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	01/06/2011","	23/05/2011","	3 MESES","	86190.00","	JORGE DAVID LEBOREIRO AMADOR","	06/12/2018 08:12",
ACEROS Y PAVIMENTOS  S.A. DE C.V.,"	SECRETARIA DE COMUNICACIONES Y TRANSPORTES","	0012/2012","	LA EMPRESA SE ABSTUVO DE PRESENTAR LA GARANTêA DE CUMPLIMIENTO Y EN SU CASO LA ENTREGA DE ANTICIPO ANTES DE LA FIRMA DEL CONTRATO","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	04/09/2013","	02/09/2013","	3 MESES","	96611.50","	HECTOR MANUEL MONTES GAYTAN","	06/12/2018 08:12",
ACEROS Y TUBOS ARES  S.A. DE C.V.,"	INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO","	0027/2007","	NO ENTREGO LOS BIENES CONTRATADOS EN LA FECHA PACTADA.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	23/08/2007","	14/08/2007","	6 MESES","	94060.20","	JUANA PADILLA TAPIA","	06/12/2018 08:12",
ACSPORTS  S.A. DE C.V.,"	SECRETARIA DE LA FUNCIîN PòBLICA","	0002/2009","	60  FRACCIîN IV  DE  LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PòBLICO. <br>PROPORCIONî INFORMACIîN FALSA Y ACTUî CON DOLO EN LA LICITACIîN PòBLICA NACIONAL NòMERO CP-INDE-MXL-BC-2008-05  PARA LA ADQUISICIîN DE EQUIPAMIENTO DEPORTIVO  CONVOCADA POR EL INSTITUTO DEL DEPORTE Y LA CULTURA FêSICA DE BAJA CALIFORNIA  AL PRESENTAR COMO PARTE DE SU PROPUESTA  LA DECLARACIîN DE NACIONALIDAD EN LA QUE MANIFESTî BAJO PROTESTA DE DECIR VERDAD  QUE EL MARCADOR ELECTRîNICO INALçMBRICO DAKTRONICS SERêA PRODUCIDO EN MƒXICO Y CONTABA CON GRADO DE INTEGRACIîN NACIONAL DEL 50%; SIENDO QUE DICHO MARCADOR ES ORIGINARIO DE LOS ESTADOS UNIDOS Y EN SU FABRICACIîN NO INCLUYE EL VALOR AGREGADO NACIONAL REGULADO; PRETENDIENDO HACER CREER A LA CONVOCANTE QUE CUMPLIî CON TAL REQUISITO.","	VENTA DE EQUIPOS DEPORTIVOS Y ACCESORIOS","	SANCIONATORIA CON MULTA E INHABILITACIîN","	02/12/2009","	09/11/2009","	2 A„OS 4 MESES","	725742.00","	JOSƒ MACêAS CORONA","	06/12/2018 08:12",
ACTITUD POSITIVA EN TONER  S. DE R.L.  MI.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0493/2008","	LA EMPRESA ACTUî CON DOLO AL PRESENTAR INFORMACIîN FALSA DENTRO DE SU PROPUESTA TƒCNICA","	FABRICACION DE TINTAS PARA IMPRESION","	SANCIONATORIA","	29/06/2012","	15/06/2012","	4 MESES","	70798.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
ACTITUD POSITIVA EN TONER  S. DE R.L. DE M.I. ,"	INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO","	0050/2007","	PRESENTO ESCRITOS PRESUNTAMENTE FALSOS DE LAS EMPRESAS QUE SUPUESTAMENTE GARANTIZABAN EL ABASTO DE LOS BIENES OFERTADOS  RECIBIENDOSE POSTERIORMENTE ESCRITOS DE LAS ESTAS EN LOS QUE SE„ALAN QUE DESCONOCEN A DICHA EMPRESA Y QUE NO FIRMARON LOS ESCRITOS PRESENTADOS POR LA EMPRESA ACTITUD POSITIVA EN TONER  S.A. DE C.V. ","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	03/10/2007","	25/09/2007","	4 A„OS","	94060.20","	JUANA PADILLA TAPIA","	06/12/2018 08:12",
ACTITUD POSITIVA EN TONER  S. DE R.L. MI.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0052/2009","	LA EMPRESA SE CONDUJO CON DOLO AL PRESENTAR PîLIZA DE FIANZA FALSA DENTRO DEL CONTRATO NO. D70347.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	15/03/2012","	02/03/2012","	2 A„OS 2 MESES","	75855.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
ADHESIVOS Y SELLADORES  S.A. DE C.V.,"	CORPORACIîN MEXICANA DE INVESTIGACIîN EN MATERIALES  S. A. DE C. V.","	0001/2012","	SE LE CONMINO A LA FIRMA DEL CONTRATO Y NO SE RECIBIO RESPUESTA POR PARTE DEL PROVEEDOR","	","	SANCIONATORIA CON MULTA","	09/02/2016","	05/02/2015","	","	87885.00","	ERNESTO ALFARO AVENDA„O","	06/12/2018 08:12",
ADIRA CARRILLO ESPINOSA DE LOS MONTEROS,"	SECRETARIA DE LA DEFENSA NACIONAL","	0005/2016","	DERIVADO  DE LA CONTRATACION POR ADJUDICACIîN DIRECTA DE LA REQUISICION NUMERO FP04-R043/2016 CON LA C. CARRILLO ESPINOSA DE LOS MONTEROS PAR LA COMPRA DE 200 PZS DE INSERTO PARA TORNEADO EXTERIOR MACR 3200-R 1025  LA CITADA PERSONA NO SE PRESENTO A FIRMAR EL INSTRUMENTO CONTRATUAL DENOTANDO CONDUCTAS DOLOSAS Y DE MALA FE EN CONTRA DE LA SECRETARêA DE LA DEFENSA NACIONAL.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	20/01/2017","	28/12/2016","	6 MESES","	113212.00","	JORGE DAVID LEBOREIRO AMADOR","	06/12/2018 08:12",
ADIRA CARRILLO ESPINOSA DE LOS MONTEROS,"	SECRETARIA DE LA DEFENSA NACIONAL","	0006/2016","	DERIVADO  DE LA CONTRATACION POR ADJUDICACIîN DIRECTA CON LA C. CARRILLO ESPINOSA DE LOS MONTEROS PAR LA COMPRA DE 200 PZS DE INSERTO PARA TORNEADO EXTERIOR MACR 3200-R 1025  LA CITADA PERSONA NO SE PRESENTO A FIRMAR EL INSTRUMENTO CONTRATUAL DENOTANDO CONDUCTAS DOLOSAS Y DE MALA FE EN CONTRA DE LA SECRETARêA DE LA DEFENSA NACIONAL.","	","	SANCIONATORIA CON MULTA","	20/01/2017","	28/12/2016","	","	22642.40","	JORGE DAVID LEBOREIRO AMADOR","	06/12/2018 08:12",
ADMINISTRACIîN INMOBILIARIA DE DURANGO  S.A. DE C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0064/2008","	LA CONTRATISTA  INCUMPLIî CON LOS PROGRAMAS CALENDARIZADOS DE EJECUCIîN DE OBRA DEL CONTRATO NO. 1-031003-4-10326.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	31/08/2011","	18/08/2011","	3 A„OS","	978174.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
ADMINISTRACIîN Y PREVENCIîN  S.A. DE C.V.,"	CORPORACIîN MEXICANA DE INVESTIGACIîN EN MATERIALES  S. A. DE C. V.","	0026/2006","	PRESENTî INFORMACIîN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.","	LA PRESTACIîN DE TODO TIPO DE ACTOS Y ACTIVIDADES DE SERVICIOS DE SEGURIDAD PRIVADA A CUALQUIER TIPO DE PERSONAS FêSICAS Y/O MORALES  NACIONALES Y/O EXTRANJERAS PARA CUALQUIER RAMA O COMERCIO  ASê COMO TODAS AQUELLAS ACTIVIDADES Y ACTOS QUE DIRECTA O INDIRECTAMENTE SE DERIVEN  RELACIONEN  PROVENGAN O SE GENEREN POR LA PRESTACIîN DEL SERVICIO ANTES MENCIONADO.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	08/02/2007","	08/02/2007","	3 MESES","	75438.50","	ERNESTO ALFARO AVENDA„O","	06/12/2018 08:12",
ADMINISTRADORA DE CAPITALES DE MƒXICO  S DE R.L.,"	SECRETARIA DE COMUNICACIONES Y TRANSPORTES","	0007/2015","	PRESENTî DOCUMENTACIîN PRESUNTAMENTE FALSA EN LA ETAPA DE PRESENTACIîN Y APERTURA DE PROPOSICIONES DE LOS PROCEDIMIENTOS DE INVITACIîN A CUANDO MENOS TRES PERSONAS IO-009000967-N75-2014  IO-009000967-N82-2014  IO-009000967-N83-2014 Y IO-009000967-N84-2014  PARA EFECTO DE ACREDITAR LA EXPERIENCIA REQUERIDA EN DICHAS LICITACIONES.","	CONSTRUCCIîN DE OBRAS DE URBANIZACIîN","	SANCIONATORIA CON MULTA E INHABILITACIîN","	28/09/2016","	27/09/2016","	5 A„OS","	1219788.00","	HECTOR MANUEL MONTES GAYTAN","	06/12/2018 08:12",
ADMINISTRADORA DE CAPITALES DE MƒXICO  S. DE R. L.,"	SECRETARIA DE COMUNICACIONES Y TRANSPORTES","	0006/2015","	LA EMPRESA ADJUDICADA EN EL PROCEDIMIENTO DE LICITACIîN INDICADO PRESENTî CONTRATOS FALSOS DENTRO DE SU PROPUESTA TƒCNICA PARA ACREDITAR LA EXPERIENCIA SOLICITADA POR EL CENTRO SCT JALISCO.","	CONSTRUCCIîN DE OBRAS DE URBANIZACIîN","	SANCIONATORIA CON MULTA E INHABILITACIîN","	27/09/2016","	26/09/2016","	1 A„O","	406596.00","	HECTOR MANUEL MONTES GAYTAN","	06/12/2018 08:12",
ADMINISTRADORA DE CAPITALES DE MƒXICO  S. DE R.L. DE C.V.,"	SECRETARIA DE COMUNICACIONES Y TRANSPORTES","	0005/2014","	LA EMPRESA ADMINISTRADORA DE CAPITALES DE MƒXICO  S. DE R.L. PROPORCIONO INFORMACIîN FALSA EN SU PROPUESTA TƒCNICA LO QUE LA LLEVO A LA ADJUDICACIîN DEL CONTRATO CORRESPONDIENTE","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	06/02/2015","	05/02/2015","	6 MESES","	367248.00","	HECTOR MANUEL MONTES GAYTAN","	06/12/2018 08:12",
ADMINITRACIONES EXTERNAS INTELIGENTES  S.A. DE C.V.,"	INSTITUTO DE INVESTIGACIONES ELECTRICAS","	0001/2017","	LA EMPRESAADMINISTRACIONES EXTERNAS INTELIGEMTES  S.A. DE C.V. PRESENTî INFORMACIîN FALSA EN SUS PROPUESTAS  PARA LA PARTICIPACIîN EN LA LICITACIîN PòBLICA NACIONAL ELECTRONICA LA-018T0K001-E1-2017","	TIENE POR OBJETO  ENTRE OTROS  LA PRESTACIîN DE TODA CLASE DE SERVICIOS PROFESIONALES RELACIONADOS Y CONEXOS CON LAS çREAS DE CONTABILIDAD  CONSTRUCCIîN  COMERCIO  IMPUESTOS FISCALES  IMPUESTOS FEDERALES  çREA LEGAL  ADMINISTRATIVA  PATRIMONIAL  FINANCIERA  MECADOTECNIA  PUBLICIDAD  AMBIENTACIîN Y DISE„O COMERCIAL  INDUSTRIAL Y DE SERVICIOS  ESTADêSTICO  DE CAPACITACIîN DE PERSONAL  EN MATERIAS PROFESIONALES Y OPERATIVAS  RELACIONES INDUSTRIALES  ADMINISTRACIîN DE EMPRESAS  RECURSOS HUMANOS  CONTADURêA  FINANZAS  PROYECTOS Y PROGRAMAS DE CONTROL DE CALIDAD DE ALTA DIRECCIîN  ASê COMO EL COBRO DE INTERESES  ANçLISIS Y ESTUDIOS PARA CRƒDITOS BANCARIOS Y ASESORêA CONTABLE  AUDITORêA FISCAL.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	19/12/2017","	19/12/2017","	2 A„OS","	905696.00","	CUAUHTƒMOC POPOCA MOCTEZUMA","	06/12/2018 08:12",
ADMINSITRADORA PARA HOSPITALES SMK,"	PETROLEOS MEXICANOS CORPORATIVO","	0009/2014","	NO FORMALIZACIîN DEL CONTRATO","	","	SANCIONATORIA CON MULTA","	29/06/2016","	20/06/2016","	","	97140.00","	","	06/12/2018 08:12",
ADVANZER DE MƒXICO  S.A. DE C.V.,"	BANCO NACIONAL DE OBRAS Y SERVICIOS PòBLICOS  S.N.C.","	0002/2017","	DURANTE LA VIGENCIA DEL CONTRATO NòMERO DAGA/050/2014 DEL DIECISIETE DE OCTUBRE DE DOS MIL CATORCE  QUE CELEBRî CON BANOBRAS  S.N.C.  SE CONDUJO CON FALSEDAD Y DOLO  YA QUE COMO SE DESPRENDE DEL APARTADO DE DECLARACIONES NUMERAL II.5.  EL REPRESENTANTE LEGAL DE DICHA EMPRESA  MANIFESTî TENER CAPACIDAD LEGAL PARA OBLIGARSE EN LOS TƒRMINOS DEL CONTRATO Y DISPONER PARA ELLO DE LOS ELEMENTOS TƒCNICOS  HUMANOS Y MATERIALES  NECESARIOS Y ADECUADOS PARA DESARROLLAR LA PRESTACIîN DE SERVICIOS OBJETO DEL MISMO  ASIMISMO  EN SUS PROPUESTAS TƒCNICA Y ECONîMICA  PRESENTADAS EN LA LICITACIîN PòBLICA MIXTA DE CARçCTER NACIONAL NòMERO LA-006G1C001-N302-2014  SE„ALî CONTAR CON EL DERECHO DE USO DE SOFTWARE DE ÒSAPÓ  QUE CONSTITUYî EL ÒSISTEMA BASEÓ EN LA MODALIDAD DE SOFTWARE COMO SERVICIO (SAAS POR SUS SIGLAS EN INGLƒS) REQUERIDOS POR BANOBRAS  S.N.C.  ADEMçS  DE QUE CONTABA CON AUTORIZACIîN DE SAP MƒXICO  S.A. DE C.V.  PARA COMERCIALIZAR EL SOFTWARE ÒSAPÓ EN LA MODALIDAD DE SOFTWARE COMO SERVICIO ÒSAASÓ (SOFTWARE AS A SERVICE)  Y QUE A SU VEZ ERA PARTNER CATEGORêA GOLD DE ÒSAPÓ.","	ENTRE OTRAS  LA PRESTACIîN DE SERVICIOS DE ASESORêA EN COMUNICACIîN DE DATOS  IMPLEMENTACIîN DE SISTEMAS Y SU DESARROLLO Y EL PROCESAMIENTO DE DATOS","	SANCIONATORIA CON MULTA E INHABILITACIîN","	28/09/2017","	26/09/2017","	5 A„OS","	2018700.00","	LETICIA  GALICIA  SçNCHEZ","	06/12/2018 08:12",
ADVAYSER  S.A. DE C.V.,"	COLEGIO NACIONAL DE EDUCACIîN PROFESIONAL TECNICA","	0006/2010","	PROPORCIONî INFORMACIîN FALSA EN EL PROCEDIMIENTO DE CONTRATACIîN.","	LA COMPRA-VENTA  DISTRIBUCIîN  IMPORTACIîN EXPORTACIîN DE TODA CLASE DE COMPUTADORAS  PERIFERICOS Y SISTEMAS DE COMPUTACIîN  ETC.","	SANCIONATORIA CON MULTA E INHABILITACIîN","	10/01/2011","	07/01/2011","	1 A„O 3 MESES","	430950.00","	ESTEBAN ALBERTO VILLAFA„E HERNçNDEZ","	06/12/2018 08:12",
